position,track name,artist,streams,region,date,spotify_id
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-01,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
NA,NA,NA,NA,global,2021-10-02,NA
